ID,Name,Activity,Start,Finish,PGMA,System,MU
,Readiness of Major Equipment and system: Second APH,OTH,2026-02-01,2026-02-01,,,
,Readiness of Major Equipment and system: Second PA Fan,OTH,2026-03-06,2026-03-06,,,
,Readiness of Major Equipment and system: First PA Fan,OTH,2026-02-19,2026-02-19,,,
,Readiness of Major Equipment and system: SA Fan,OTH,2026-05-01,2026-05-01,,,
,Readiness of Major Equipment and system: MDBFP,OTH,2025-09-17,2025-09-17,,,
,Readiness of Major Equipment and system: CEP,OTH,2025-11-18,2025-11-18,,,
,Readiness of Major Equipment and system: TDBFP,OTH,2026-04-18,2026-04-18,,,
,"Readiness of Major Equipment and system: Service transformer, Aux transformer Charging",OTH,2025-05-24,2025-05-24,,,
,Readiness of Major Equipment and system: DCS Panel Charging,OTH,2025-10-27,2025-10-27,,,
,Readiness of Major Equipment and system: C&I for BLU (Gun Trial of AB Elevation),OTH,2025-12-19,2025-12-19,,,
,Readiness of Major Equipment and system: C&I for Chemical Cleaning (Gun Trial CD elevation),OTH,2025-11-25,2025-11-25,,,
,Readiness of Major Equipment and system: C&I for SB,OTH,2025-12-25,2025-12-25,,,
,Readiness of Major Equipment and system: C&I for Sync,OTH,2026-04-28,2026-04-28,,,
,Readiness of Major Equipment and system: C&I for Full Loading,OTH,2026-05-05,2026-05-05,,,
,Readiness of Major Equipment and system: Mills,OTH,2025-11-15,2025-11-15,,,
,Readiness of Major Equipment and system: Feeders ,OTH,2025-11-20,2025-11-20,,,
,Readiness of Major Equipment and system: Scanner FAN,OTH,2025-11-02,2025-11-02,,,
,Readiness of Major Equipment and system: Soot Blowing System,OTH,2025-08-18,2025-08-18,,,
,Readiness of Major Equipment and system: ESP Charging,OTH,2025-12-20,2025-12-20,,,
,Readiness of Major Equipment and system: COMPLETION of Main Boiler Structure work,OTH,2026-04-30,2026-04-30,,,
,Readiness of Major Equipment and system: DM Plant for HT,OTH,2025-02-20,2025-02-20,,,
,Readiness of Major Equipment and system: Complete DM Plant,OTH,2025-07-20,2025-07-20,,,
,Readiness of Major Equipment and system: Compressed air system,OTH,2025-10-24,2025-10-24,,,
,Readiness of Major Equipment and system: Air conditioning system,OTH,2026-01-19,2026-01-19,,,
,Readiness of Major Equipment and system: Cooling Tower,OTH,2025-11-25,2025-11-25,,,
,Readiness of Major Equipment and system: Chimney for BLU,OTH,2025-09-01,2025-09-01,,,
,Readiness of Major Equipment and system: Complete Chimney,OTH,2025-11-30,2025-11-30,,,
,Readiness of Major Equipment and system: Ventilation system,OTH,2026-03-26,2026-03-26,,,
,Readiness of Major Equipment and system: FPS for BLU,OTH,2026-01-05,2026-01-05,,,
,Readiness of Major Equipment and system: Completed FPS,OTH,2026-04-15,2026-04-15,,,
,Readiness of Major Equipment and system: DG set,OTH,2025-08-27,2025-08-27,,,
,Readiness of Major Equipment and system: CPU,OTH,2026-02-24,2026-02-24,,,
