ID,Name,Activity,Start,Finish,PGMA,System,MU
,Manufacturing,MFG,2023-08-05,2024-01-27,7431,Circulation System Components,TRY
,Dispatch,DIS,2024-01-28,2024-02-26,7431,Circulation System Components,TRY
,Furnace Spiral Wall supports Misc. items (PGMA-7460),OTH,2023-01-25,2024-08-29,7460,Circulation System Components,
,Engineering,ENG,2023-01-25,2023-11-05,7460,Circulation System Components,TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,7460,Circulation System Components,TRY
,Dispatch,DIS,2024-07-31,2024-08-29,7460,Circulation System Components,TRY
,Furnace wall Supports rear (PGMA-7461),OTH,2023-01-25,2024-03-29,7461,Circulation System Components,
,Engineering,ENG,2023-01-25,2023-08-14,7461,Circulation System Components,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,7461,Circulation System Components,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,7461,Circulation System Components,TRY
,Furnace wall Supports Sides L & R (PGMA-7462),OTH,2023-01-25,2024-03-29,7462,Circulation System Components,
,Engineering,ENG,2023-01-25,2023-08-14,7462,Circulation System Components,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,7462,Circulation System Components,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,7462,Circulation System Components,TRY
,EVAPORATOR COILS (PGMA-7502),OTH,2022-12-26,2024-01-27,7502,Circulation System Components,
,Engineering,ENG,2022-12-26,2023-07-05,7502,Circulation System Components,TRY
,Manufacturing,MFG,2023-07-06,2023-12-28,7502,Circulation System Components,TRY
,Dispatch,DIS,2023-12-29,2024-01-27,7502,Circulation System Components,TRY
,EVAPORATOR COILS (PGMA-7503),OTH,2022-12-26,2024-01-27,7503,Circulation System Components,
,Engineering,ENG,2022-12-26,2023-07-05,7503,Circulation System Components,TRY
,Manufacturing,MFG,2023-07-06,2023-12-28,7503,Circulation System Components,TRY
,Dispatch,DIS,2023-12-29,2024-01-27,7503,Circulation System Components,TRY
,MODULE SUPPORT - IP (PGMA-7505),OTH,2022-12-26,2024-01-27,7505,Circulation System Components,
,Engineering,ENG,2022-12-26,2023-07-05,7505,Circulation System Components,TRY
,Manufacturing,MFG,2023-07-06,2023-12-28,7505,Circulation System Components,TRY
,Dispatch,DIS,2023-12-29,2024-01-27,7505,Circulation System Components,TRY
,RISER TUBE SUPPORT-SHOP (PGMA-7531),OTH,2023-01-25,2024-02-26,7531,Circulation System Components,
,Engineering,ENG,2023-01-25,2023-08-04,7531,Circulation System Components,TRY
,Manufacturing,MFG,2023-08-05,2024-01-27,7531,Circulation System Components,TRY
,Dispatch,DIS,2024-01-28,2024-02-26,7531,Circulation System Components,TRY
,FURNACE SPIRAL WALL MISC ITEMS-SHOP (PGMA-7560),OTH,2023-01-25,2024-08-29,7560,Circulation System Components,
,Engineering,ENG,2023-01-25,2023-11-05,7560,Circulation System Components,TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,7560,Circulation System Components,TRY
,Dispatch,DIS,2024-07-31,2024-08-29,7560,Circulation System Components,TRY
,INDEGENOUS ELECTRODE (PGMA-7991),OTH,2022-12-26,2023-12-27,7991,Circulation System ComponentsESP,
,Engineering,ENG,2022-12-26,2023-05-26,7991,Circulation System ComponentsESP,TRY
,Manufacturing,MFG,2023-05-27,2023-11-27,7991,Circulation System ComponentsESP,TRY
,Dispatch,DIS,2023-11-28,2023-12-27,7991,Circulation System ComponentsESP,TRY
,IMPORTED ELECTRODES (PGMA-7992),OTH,2023-01-25,2024-03-29,7992,Circulation System ComponentsESP,
,Engineering,ENG,2023-01-25,2023-08-14,7992,Circulation System ComponentsESP,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,7992,Circulation System ComponentsESP,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,7992,Circulation System ComponentsESP,TRY
,CONSUMABLES &Erection MATERIALS (PGMA-7993),ERC,2022-12-26,2023-12-27,7993,Circulation System ComponentsESP,PSWR
,Engineering,ENG,2022-12-26,2023-05-26,7993,Circulation System ComponentsESP,TRY
,Manufacturing,MFG,2023-05-27,2023-11-27,7993,Circulation System ComponentsESP,TRY
,Dispatch,DIS,2023-11-28,2023-12-27,7993,Circulation System ComponentsESP,TRY
,Buckstays and Framing (PG-08),OTH,2023-01-25,2024-10-27,PG08,Circulation System ComponentsESP,
,FURNACE UPPER BUCKSTAYS- FRONT & REAR (PGMA-8001),OTH,2023-01-25,2024-03-29,8001,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8001,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8001,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8001,Buckstays and Framing,TRY
,FURNACE UPPER BUCKSTAYS - SIDE (PGMA-8003),OTH,2023-01-25,2024-03-29,8003,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8003,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8003,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8003,Buckstays and Framing,TRY
,FURNACE INTER BUCKSTAYS (PGMA-8006),OTH,2023-01-25,2024-09-27,8006,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-11-20,8006,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-11-21,2024-08-28,8006,Buckstays and Framing,TRY
,Dispatch,DIS,2024-08-29,2024-09-27,8006,Buckstays and Framing,TRY
,FURNACE LOWER BUCKSTAYS (PGMA-8007),OTH,2023-01-25,2024-10-27,8007,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-12-05,8007,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,8007,Buckstays and Framing,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,8007,Buckstays and Framing,TRY
,FURNACE REAR ARCH BUCKSTAYS (PGMA-8111),OTH,2023-01-25,2024-08-29,8111,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-11-05,8111,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,8111,Buckstays and Framing,TRY
,Dispatch,DIS,2024-07-31,2024-08-29,8111,Buckstays and Framing,TRY
,UPPER BACK PASS BUCKSTAY (PGMA-8501),OTH,2023-01-25,2024-03-29,8501,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8501,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8501,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8501,Buckstays and Framing,TRY
,FURNACE BACK PASS BUCKSTAYS -SIDE (PGMA-8503),OTH,2023-01-25,2024-03-29,8503,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8503,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8503,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8503,Buckstays and Framing,TRY
,FURNACE KEY BUCKSTAYS - UPPER (PGMA-8901),OTH,2023-01-25,2024-03-29,8901,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8901,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8901,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8901,Buckstays and Framing,TRY
,EXPN. MOVEMENT MEASUREMENT COMPONENTS (PGMA-8910),OTH,2023-01-25,2024-05-16,8910,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-27,8910,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-28,2024-04-16,8910,Buckstays and Framing,TRY
,Dispatch,DIS,2024-04-17,2024-05-16,8910,Buckstays and Framing,TRY
,BULKED B.P.S ITEMS FOR UPPER BUCKSTAYS (PGMA-8911),OTH,2023-01-25,2024-03-29,8911,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,8911,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,8911,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,8911,Buckstays and Framing,TRY
,BULKED B.P.S ITEMS FOR INTERMEDIATE BUCKSTAYS (PGMA-8912),OTH,2023-01-25,2024-09-27,8912,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-11-20,8912,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-11-21,2024-08-28,8912,Buckstays and Framing,TRY
,Dispatch,DIS,2024-08-29,2024-09-27,8912,Buckstays and Framing,TRY
,BULKED B.P.S ITEMS FOR LOWER BUCKSTAYS (PGMA-8913),OTH,2023-01-25,2024-10-27,8913,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-12-05,8913,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,8913,Buckstays and Framing,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,8913,Buckstays and Framing,TRY
,"Economiser Headers, Coils and Components (PG-19)",OTH,2023-01-25,2024-11-27,PG19,Buckstays and Framing,
,Economiser Supports above Roof- DD (PGMA-19304),OTH,2023-01-25,2024-03-29,19304,Buckstays and Framing,
,Engineering,ENG,2023-01-25,2023-08-14,19304,Buckstays and Framing,TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19304,Buckstays and Framing,TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19304,Buckstays and Framing,TRY
,ECO. LINES & LINKS SUPPORTS-DD (PGMA-19306),OTH,2023-01-25,2024-03-29,19306,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19306,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19306,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19306,"Economiser Headers, Coils and Components",TRY
,ECO FEED PIPE SUPPORT-DD (PGMA-19307),OTH,2023-01-25,2024-03-29,19307,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19307,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19307,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19307,"Economiser Headers, Coils and Components",TRY
,ECO HANGER TUBE ATTACHMENT (PGMA-19402),OTH,2023-01-25,2024-03-29,19402,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19402,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19402,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19402,"Economiser Headers, Coils and Components",TRY
,ECO. LINES & LINKS SUPPORTS-SHOP (PGMA-19506),OTH,2023-01-25,2024-03-29,19506,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19506,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19506,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19506,"Economiser Headers, Coils and Components",TRY
,ECO FEED PIPE SUPPORT-SHOP (PGMA-19507),OTH,2023-01-25,2024-03-29,19507,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19507,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19507,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19507,"Economiser Headers, Coils and Components",TRY
,ECONOMISER INLET HEADERS (PGMA-19701),OTH,2023-01-25,2024-09-27,19701,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-20,19701,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-21,2024-08-28,19701,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-08-29,2024-09-27,19701,"Economiser Headers, Coils and Components",TRY
,ECONOMISER OUTLET HEADERS (PGMA-19702),OTH,2023-01-25,2024-03-29,19702,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19702,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19702,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19702,"Economiser Headers, Coils and Components",TRY
,ECONOMISER INTERMEDIATE HEADER - REAR (PGMA-19753),OTH,2023-01-25,2024-08-29,19753,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19753,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19753,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19753,"Economiser Headers, Coils and Components",TRY
,ECONOMISER INTERMEDIATE HEADER - FRONT (PGMA-19763),OTH,2023-01-25,2024-08-29,19763,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19763,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19763,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19763,"Economiser Headers, Coils and Components",TRY
,ECONOMISER INTERMEDIATE HEADER - INTER (PGMA-19783),OTH,2023-01-25,2024-08-29,19783,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19783,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19783,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19783,"Economiser Headers, Coils and Components",TRY
,HEADERS OF CENTER INTER (PGMA-19793),OTH,2023-01-25,2024-08-29,19793,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19793,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19793,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19793,"Economiser Headers, Coils and Components",TRY
,ECONOMISER HANGER TUBES (PGMA-19802),OTH,2023-01-25,2024-03-29,19802,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19802,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19802,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19802,"Economiser Headers, Coils and Components",TRY
,PLAIN TUBE ECONO. UPPER COIL ASSY(LEFT) (PGMA-19814),OTH,2023-01-25,2024-07-29,,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-10-26,19814,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-10-27,2024-06-29,19814,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-06-30,2024-07-29,19814,"Economiser Headers, Coils and Components",TRY
,ECO LOWER ASSY -LEFT (PGMA-19824),OTH,2023-01-25,2024-09-27,19824,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-20,19824,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-21,2024-08-28,19824,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-08-29,2024-09-27,19824,"Economiser Headers, Coils and Components",TRY
,ECONOMISER FEED PIPE (PGMA-19850),OTH,2023-01-25,2024-03-29,19850,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19850,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19850,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19850,"Economiser Headers, Coils and Components",TRY
,LINK FROM ECO OUTLET HEADER TO ECO MIX LINE(PGMA-19851),OTH,2023-01-25,2024-03-29,19851,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19851,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19851,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19851,"Economiser Headers, Coils and Components",TRY
,ECONOMISER-I TO ECONOMISER-II LINK (PGMA-19852),OTH,2023-01-25,2024-03-29,19852,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19852,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19852,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19852,"Economiser Headers, Coils and Components",TRY
,ECONOMISER FEED PIPE (PGMA-19853),OTH,2023-01-25,2024-03-29,19853,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19853,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19853,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19853,"Economiser Headers, Coils and Components",TRY
,ECO INTER ASSY - LEFT (PGMA-19884),OTH,2023-01-25,2024-08-29,19884,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19884,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19884,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19884,"Economiser Headers, Coils and Components",TRY
,ECONOMISER MISCELLANEOUS COMPONENTS (PGMA-19903),OTH,2023-01-25,2024-10-27,19903,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-12-05,19903,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,19903,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-09-28,2024-10-27,19903,"Economiser Headers, Coils and Components",TRY
,IP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19904),OTH,2023-01-25,2024-03-29,19904,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19904,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19904,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19904,"Economiser Headers, Coils and Components",TRY
,ECONOMISER COIL SUPPORTS (PGMA-19905),OTH,2023-01-25,2024-03-29,19905,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19905,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19905,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19905,"Economiser Headers, Coils and Components",TRY
,HP ECO 4 FRONT MODULE COMPONENTS(LEFT) (PGMA-19906),OTH,2023-01-25,2024-03-29,,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19906,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19906,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19906,"Economiser Headers, Coils and Components",TRY
,LP ECONOMISER SUPPORTS & SUSPENSIONS (PGMA-19907),OTH,2023-01-25,2024-03-29,19907,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19907,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19907,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19907,"Economiser Headers, Coils and Components",TRY
,HP ECONOMISER-II MODULE SUPPORTS (PGMA-19914),OTH,2023-01-25,2024-07-29,19914,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-10-26,19914,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-10-27,2024-06-29,19914,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-06-30,2024-07-29,19914,"Economiser Headers, Coils and Components",TRY
,PLAIN TUBE ECO. LOWER ASSY (RIGHT) (PGMA-19924),OTH,2023-01-25,2024-09-27,,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-20,19924,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-21,2024-08-28,19924,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-08-29,2024-09-27,19924,"Economiser Headers, Coils and Components",TRY
,ECO INTER ASSY - RIGHT (PGMA-19984),OTH,2023-01-25,2024-08-29,19984,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-11-05,19984,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-11-06,2024-07-30,19984,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-07-31,2024-08-29,19984,"Economiser Headers, Coils and Components",TRY
,ECONOMISER IMPORTED ELECTRODES (PGMA-19991),OTH,2023-01-25,2024-03-29,19991,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-08-14,19991,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-08-15,2024-02-28,19991,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-02-29,2024-03-29,19991,"Economiser Headers, Coils and Components",TRY
,IMPORTED ELECTRODES (PGMA-19992),OTH,2023-01-25,2024-11-27,19992,"Economiser Headers, Coils and Components",
,Engineering,ENG,2023-01-25,2023-12-20,19992,"Economiser Headers, Coils and Components",TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,19992,"Economiser Headers, Coils and Components",TRY
,Dispatch,DIS,2024-10-29,2024-11-27,19992,"Economiser Headers, Coils and Components",TRY
,Boiler Integral Piping and Fittings (PG-24),OTH,2022-09-27,2025-11-11,PG24,"Economiser Headers, Coils and Components",
,BOILER FILLING PIPING (PGMA-24350),OTH,2023-01-25,2024-10-27,24350,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24350,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24350,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24350,Boiler Integral Piping and Fittings,TRY
,HANGERS+SUPPORTS FOR BLR FILLING PIPING (PGMA-24351),OTH,2023-01-25,2024-10-27,24351,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24351,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24351,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24351,Boiler Integral Piping and Fittings,TRY
,BOILER FILL PIPING - DD (PGMA-24352),OTH,2023-01-25,2024-10-27,24352,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24352,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24352,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24352,Boiler Integral Piping and Fittings,TRY
,HANGERS & SUPPORTS FOR BOILER FILL PIPING - OS (PGMA-24353),OTH,2023-01-25,2024-10-27,24353,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24353,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24353,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24353,Boiler Integral Piping and Fittings,TRY
,BOI items for Boiler fill piping (PGMA-24354),OTH,2023-01-25,2024-10-27,24354,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24354,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24354,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24354,Boiler Integral Piping and Fittings,TRY
,BULKED BPS COMPONENTS FOR TRIM PIPES (PGMA-24700),OTH,2023-05-18,2024-11-27,24700,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-05-18,2024-02-03,24700,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2024-02-04,2024-10-28,24700,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24700,Boiler Integral Piping and Fittings,TRY
,BOILER TRIM PIPING (PGMA-24800),OTH,2023-01-25,2024-10-27,24800,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24800,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24800,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24800,Boiler Integral Piping and Fittings,TRY
,Boiler Trim Piping - Dd Items (PGMA-24803),OTH,2023-01-25,2024-10-27,24803,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24803,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24803,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24803,Boiler Integral Piping and Fittings,TRY
,Supports - Boiler Trim Piping - Os (PGMA-24804),OTH,2023-01-25,2024-10-27,24804,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-05,24804,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-06,2024-09-27,24804,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-09-28,2024-10-27,24804,Boiler Integral Piping and Fittings,TRY
,LINK TO BOILER RECIRCULATION SYSTEM (PGMA-24805),OTH,2023-01-25,2024-11-27,24805,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24805,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,24805,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24805,Boiler Integral Piping and Fittings,TRY
,MIXING VESSEL (PGMA-24806),OTH,2023-01-25,2024-11-27,24806,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24806,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,24806,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24806,Boiler Integral Piping and Fittings,TRY
,RECIRCULATION PUMP SECTION LINE (PGMA-24807),OTH,2023-01-25,2024-11-27,24807,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24807,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,24807,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24807,Boiler Integral Piping and Fittings,TRY
,RECIRCULATION PUMP DISCHARGE LINE (PGMA-24808),OTH,2023-01-25,2024-11-27,24808,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24808,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,24808,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24808,Boiler Integral Piping and Fittings,TRY
,BOILER RECIRCULATION LINK FROM BF LINE (PGMA-24809),OTH,2023-01-25,2024-11-27,24809,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24809,Boiler Integral Piping and Fittings,TRY
,Manufacturing,MFG,2023-12-21,2024-10-28,24809,Boiler Integral Piping and Fittings,TRY
,Dispatch,DIS,2024-10-29,2024-11-27,24809,Boiler Integral Piping and Fittings,TRY
,HANGERS + SUPPORTS FOR STARTUP SYSTEM (PGMA-24810),OTH,2023-01-25,2024-11-27,24810,Boiler Integral Piping and Fittings,
,Engineering,ENG,2023-01-25,2023-12-20,24810,Boiler Integral Piping and Fittings,TRY
